Region,Division,,Enrollment_2012,Enrollment_2011,Enrollment_2010,Enrollment_2009,Enrollment_2008,Enrollment_2007,Enrollment_2006,Enrollment_2005
Region X,Iligan City,Female,22458,22364,21970,22059,22095,21790,21597,22008
Region X,Ozamis City,Total,17332,17384,17016,17695,17530,17524,17646,18218
Region X,Ozamis City,Male,9057,9101,8870,9165,9088,8964,9076,9295
Region X,Ozamis City,Female,8275,8283,8146,8530,8442,8560,8570,8923
Region X,Oroquieta City,Total,9107,8937,8571,8576,8480,8290,8493,8367
Region X,Oroquieta City,Male,4813,4739,4446,4432,4383,4327,4421,4392
Region X,Oroquieta City,Female,4294,4198,4125,4144,4097,3963,4072,3975
Region X,Tangub City,Total,9662,9876,10316,10920,11129,10804,10892,11114
Region X,Tangub City,Male,5156,5199,5370,5652,5785,5645,5657,5748
Region X,Tangub City,Female,4506,4677,4946,5268,5344,5159,5235,5366
Region X,Valencia City,Total,28602,26924,26584,25436,25505,25015,24678,24881
Region X,Valencia City,Male,14891,13864,13697,13060,13140,12880,12735,12870
Region X,Valencia City,Female,13711,13060,12887,12376,12365,12135,11943,12011
Region X,El Salvador,Total,5812,5882,5583,5722,5288,5246,5250,0
Region X,El Salvador,Male,3117,3127,2918,2973,2786,2754,2756,0
Region X,El Salvador,Female,2695,2755,2665,2749,2502,2492,2494,0
Region X Subtotal,Region X Subtotal,Total,657672,657435,642564,629049,624081,607014,595712,592471
Region X Subtotal,Region X Subtotal,Male,343111,341084,332775,325370,323685,313304,307089,305339
Region X Subtotal,Region X Subtotal,Female,314561,316351,309789,303679,300396,293710,288623,287132
Region XI,Compostela Valley,Total,111507,109324,105137,100316,99106,97222,95841,97082
Region XI,Compostela Valley,Male,58633,57234,54800,52046,51558,50347,49346,49986
Region XI,Compostela Valley,Female,52874,52090,50337,48270,47548,46875,46495,47096
Region XI,Davao del Norte,Total,68200,66797,63319,59798,57536,55786,53884,54608
Region XI,Davao del Norte,Male,35859,35243,33265,31338,30117,29159,28162,28368
Region XI,Davao del Norte,Female,32341,31554,30054,28460,27419,26627,25722,26240
Region XI,Davao del Sur,Total,121252,120339,117652,109715,103431,99340,97758,100195
Region XI,Davao del Sur,Male,62848,62122,60934,56340,52570,50209,49207,50465
Region XI,Davao del Sur,Female,58404,58217,56718,53375,50861,49131,48551,49730
Region XI,Davao Oriental,Total,39728,98329,95579,70960,67499,86351,84737,87171
Region XI,Davao Oriental,Male,20717,51010,49354,36637,34688,44246,43097,44212
Region XI,Davao Oriental,Female,19011,47319,46225,34323,32811,42105,41640,42959
Region XI,Davao City,Total,191827,186435,183171,177765,172925,169402,166834,167070
Region XI,Davao City,Male,99844,97272,95197,92332,89717,87605,86191,85770
Region XI,Davao City,Female,91983,89163,87974,85433,83208,81797,80643,81300
Region XI,Digos City,Total,22517,21510,20833,20465,20075,19639,19394,19381
Region XI,Digos City,Male,11628,11002,10709,10501,10340,10119,9996,9998
Region XI,Digos City,Female,10889,10508,10124,9964,9735,9520,9398,9383
Region XI,Panabo City,Total,25587,25563,24716,23646,22108,21758,21735,21853
Region XI,Panabo City,Male,13319,13302,12892,12298,11426,11306,11195,11254
Region XI,Panabo City,Female,12268,12261,11824,11348,10682,10452,10540,10599
Region XI,Tagum City,Total,33048,31502,31067,30286,28417,27393,27092,26878
Region XI,Tagum City,Male,17186,16298,16100,15614,14644,14118,13940,13921
Region XI,Tagum City,Female,15862,15204,14967,14672,13773,13275,13152,12957
Region XI,Island Garden City of Samal,Total,15167,14875,14597,14194,14053,13491,13534,13323
Region XI,Island Garden City of Samal,Male,8121,7958,7790,7509,7448,7117,7125,6920
Region XI,Island Garden City of Samal,Female,7046,6917,6807,6685,6605,6374,6409,6403
Region XI,Mati City,Total,54256,0,0,22139,21320,0,0,0
Region XI,Mati City,Male,28446,0,0,11444,10990,0,0,0
Region XI,Mati City,Female,25810,0,0,10695,10330,0,0,0
Region XI Subtotal,Region XI Subtotal,Total,683089,674674,656071,629284,606470,590382,580809,587561
Region XI Subtotal,Region XI Subtotal,Male,356601,351441,341041,326059,313498,304226,298259,300894
Region XI Subtotal,Region XI Subtotal,Female,326488,323233,315030,303225,292972,286156,282550,286667
Region XII,North Cotabato,Total,176777,178337,176281,174347,171909,166497,159647,157398
Region XII,North Cotabato,Male,90448,91010,90287,88923,88225,85175,81247,80034
Region XII,North Cotabato,Female,86329,87327,85994,85424,83684,81322,78400,77364
Region XII,Sarangani,Total,88932,89575,86820,83061,82143,77550,72819,71952
Region XII,Sarangani,Male,45817,46039,44428,42322,41958,39100,36380,35975
Region XII,Sarangani,Female,43115,43536,42392,40739,40185,38450,36439,35977
Region XII,South Cotabato,Total,102949,100586,99246,97694,95225,91940,91153,90578
Region XII,South Cotabato,Male,53622,51931,51307,50189,48951,46944,46664,46409
Region XII,South Cotabato,Female,49327,48655,47939,47505,46274,44996,44489,44169
Region XII,Sultan Kudarat,Total,97029,96815,93623,90601,88710,86172,83178,80826
Region XII,Sultan Kudarat,Male,49870,49687,47971,46511,45443,44056,42454,41090
Region XII,Sultan Kudarat,Female,47159,47128,45652,44090,43267,42116,40724,39736
Region XII,Cotabato City,Total,33083,33229,32435,32237,31635,30520,29627,28897
Region XII,Cotabato City,Male,16573,16631,16016,15872,15694,15153,14724,14403
Region XII,Cotabato City,Female,16510,16598,16419,16365,15941,15367,14903,14494
Region XII,General Santos City,Total,76916,75809,72889,72222,69075,66446,65144,63827
Region XII,General Santos City,Male,39588,39090,37571,37052,35377,33919,33137,32411
Region XII,General Santos City,Female,37328,36719,35318,35170,33698,32527,32007,31416
Region XII,Kidapawan City,Total,18181,17355,17213,17174,16869,16963,16620,16783
Region XII,Kidapawan City,Male,9380,8858,8903,8963,8761,8879,8645,8675
Region XII,Kidapawan City,Female,8801,8497,8310,8211,8108,8084,7975,8108
Region XII,Koronadal City,Total,21301,20604,20017,19987,19892,19468,19214,19083
Region XII,Koronadal City,Male,11097,10753,10480,10472,10361,10028,9850,9725
Region XII,Koronadal City,Female,10204,9851,9537,9515,9531,9440,9364,9358
Region XII,Tacurong City,Total,12549,12073,11904,12189,11581,11465,11341,11559
Region XII,Tacurong City,Male,6571,6297,6206,6358,6056,5907,5887,5933
Region XII,Tacurong City,Female,5978,5776,5698,5831,5525,5558,5454,5626
Region XII Subtotal,Region XII Subtotal,Total,627717,624383,610428,599512,587039,567021,548743,540903
Region XII Subtotal,Region XII Subtotal,Male,322966,320296,313169,306662,300826,289161,278988,274655
Region XII Subtotal,Region XII Subtotal,Female,304751,304087,297259,292850,286213,277860,269755,266248
CARAGA,Agusan del Norte,Total,55515,55584,53639,51689,50891,49785,48662,47916
CARAGA,Agusan del Norte,Male,29139,29098,27985,26971,26545,26017,25451,24917
CARAGA,Agusan del Norte,Female,26376,26486,25654,24718,24346,23768,23211,22999
CARAGA,Agusan del Sur,Total,114265,112413,112201,107308,103864,97312,95468,97346
CARAGA,Agusan del Sur,Male,59161,58219,58413,55791,53974,49951,49001,49927
CARAGA,Agusan del Sur,Female,55104,54194,53788,51517,49890,47361,46467,47419
CARAGA,Butuan City,Total,48858,48204,46731,46330,45061,44069,42956,42737
CARAGA,Butuan City,Male,25380,24993,24234,23926,23446,22822,22334,22398
CARAGA,Butuan City,Female,23478,23211,22497,22404,21615,21247,20622,20339
CARAGA,Siargao,Total,20911,21665,21886,21277,21338,20527,18816,18302
CARAGA,Siargao,Male,10860,11320,11484,11164,11126,10655,9684,9390
CARAGA,Siargao,Female,10051,10345,10402,10113,10212,9872,9132,8912
CARAGA,Surigao City,Total,21745,21421,20634,20559,20430,19658,19001,18606
CARAGA,Surigao City,Male,11366,11175,10794,10713,10613,10172,9744,9651
CARAGA,Surigao City,Female,10379,10246,9840,9846,9817,9486,9257,8955
CARAGA,Surigao del Norte,Total,32525,31284,30026,29085,29509,29350,44102,44610
CARAGA,Surigao del Norte,Male,17138,16520,15797,15305,15521,15366,22935,23062
CARAGA,Surigao del Norte,Female,15387,14764,14229,13780,13988,13984,21167,21548
CARAGA,Surigao del Sur,Total,77987,78734,78628,75296,73813,72871,71603,72451
CARAGA,Surigao del Sur,Male,40696,41268,41330,39356,38500,37706,36653,37098
CARAGA,Surigao del Sur,Female,37291,37466,37298,35940,35313,35165,34950,35353
CARAGA,Bislig City,Total,13686,13759,13935,14074,14200,14579,14548,14640
CARAGA,Bislig City,Male,7166,7153,7314,7378,7445,7624,7611,7691
CARAGA,Bislig City,Female,6520,6606,6621,6696,6755,6955,6937,6949
CARAGA,Dinagat Island,Total,17087,17282,17090,16495,16981,17270,0,0
CARAGA,Dinagat Island,Male,9062,9122,8948,8699,8903,8989,0,0
CARAGA,Dinagat Island,Female,8025,8160,8142,7796,8078,8281,0,0
CARAGA Subtotal,CARAGA Subtotal,Total,402579,400346,394770,382113,376087,365421,355156,356608
CARAGA Subtotal,CARAGA Subtotal,Male,209968,208868,206299,199303,196073,189302,183413,184134
CARAGA Subtotal,CARAGA Subtotal,Female,192611,191478,188471,182810,180014,176119,171743,172474
ARMM,Maguindanao II,Total,79769,80742,78908,0,0,0,0,0
ARMM,Maguindanao II,Male,39364,39864,38810,0,0,0,0,0
ARMM,Maguindanao II,Female,40405,40878,40098,0,0,0,0,0
ARMM,Basilan,Total,37253,32671,33661,32696,32657,29787,44312,46844
ARMM,Basilan,Male,18336,16033,16287,15923,15811,14466,21799,23135
ARMM,Basilan,Female,18917,16638,17374,16773,16846,15321,22513,23709
ARMM,Lanao del Sur - IA,Total,54715,64819,72911,67618,56912,107230,108108,109244
ARMM,Lanao del Sur - IA,Male,25206,29860,32937,30833,26131,49528,50054,50512
ARMM,Lanao del Sur - IA,Female,29509,34959,39974,36785,30781,57702,58054,58732
ARMM,Lanao del Sur - IIA,Total,43226,48672,48931,48447,48525,74499,69028,72016
ARMM,Lanao del Sur - IIA,Male,18948,21232,21432,21116,20807,32489,30393,32184
ARMM,Lanao del Sur - IIA,Female,24278,27440,27499,27331,27718,42010,38635,39832
ARMM,Maguindanao I,Total,97667,105866,96755,176164,104718,91038,141008,136061
ARMM,Maguindanao I,Male,48047,52166,47180,85822,51529,44191,68414,65931
ARMM,Maguindanao I,Female,49620,53700,49575,90342,53189,46847,72594,70130
ARMM,Sulu I,Total,60926,62500,63879,63566,60354,60457,54542,51605
ARMM,Sulu I,Male,29965,30757,30846,30976,29744,30155,27056,25661
ARMM,Sulu I,Female,30961,31743,33033,32590,30610,30302,27486,25944
ARMM,Tawi-Tawi,Total,59943,78776,90478,72640,71438,69439,67897,61780
ARMM,Tawi-Tawi,Male,29182,38145,44665,35119,34830,33938,33398,30218
ARMM,Tawi-Tawi,Female,30761,40631,45813,37521,36608,35501,34499,31562
ARMM,Marawi City,Total,46341,50960,65900,66033,50136,54249,40204,40297
ARMM,Marawi City,Male,21212,22868,28654,30294,23073,24808,18794,19385
ARMM,Marawi City,Female,25129,28092,37246,35739,27063,29441,21410,20912
ARMM,Sulu II,Total,42619,46670,44168,46116,46116,45126,39278,37193
ARMM,Sulu II,Male,20684,22808,21393,22408,22408,22192,19238,18195
ARMM,Sulu II,Female,21935,23862,22775,23708,23708,22934,20040,18998
ARMM,Shariff Kabunsuan,Total,0,0,0,0,82437,73044,0,0
ARMM,Shariff Kabunsuan,Male,0,0,0,0,41192,36052,0,0
ARMM,Shariff Kabunsuan,Female,0,0,0,0,41245,36992,0,0
ARMM,Lamitan City,Total,14186,14471,17836,15691,13598,14602,0,0
ARMM,Lamitan City,Male,7205,7236,8803,7710,6762,7214,0,0
ARMM,Lamitan City,Female,6981,7235,9033,7981,6836,7388,0,0
ARMM,Lanao del Sur - IB,Total,52436,61246,60840,65068,59492,0,0,0
ARMM,Lanao del Sur - IB,Male,24576,28757,28422,30232,27939,0,0,0
ARMM,Lanao del Sur - IB,Female,27860,32489,32418,34836,31553,0,0,0
ARMM,Lanao del Sur - IIB,Total,36085,38621,36980,35366,37029,0,0,0
ARMM,Lanao del Sur - IIB,Male,16713,17719,17022,16237,17000,0,0,0
ARMM,Lanao del Sur - IIB,Female,19372,20902,19958,19129,20029,0,0,0
ARMM,ARMM,Total,625166,686014,711247,689405,663412,619471,564377,555040
ARMM,ARMM,Male,299438,327445,336451,326670,317226,295033,269146,265221
ARMM,ARMM,Female,325728,358569,374796,362735,346186,324438,295231,289819
CAR,Abra,Total,31696,31926,31914,31501,30727,30218,30008,30073
CAR,Abra,Male,16706,16772,16726,16583,16186,15909,15785,15818
CAR,Abra,Female,14990,15154,15188,14918,14541,14309,14223,14255
CAR,Apayao,Total,18300,18749,19036,18632,18018,17695,17762,17678
CAR,Apayao,Male,9707,9896,9981,9740,9355,9211,9230,9152
CAR,Apayao,Female,8593,8853,9055,8892,8663,8484,8532,8526
CAR,Benguet,Total,47323,47781,48290,48541,48426,48816,48917,48598
CAR,Benguet,Male,24851,25060,25370,25469,25480,25560,25653,25407
CAR,Benguet,Female,22472,22721,22920,23072,22946,23256,23264,23191
CAR,Ifugao,Total,28293,28060,27982,28371,28475,28690,29188,29279
CAR,Ifugao,Male,14911,14705,14766,14847,14936,14985,15070,15061
CAR,Ifugao,Female,13382,13355,13216,13524,13539,13705,14118,14218
CAR,Kalinga,Total,33700,33753,34044,33346,32190,31756,31519,31761
CAR,Kalinga,Male,17862,17799,17831,17431,16855,16504,16413,16487
CAR,Kalinga,Female,15838,15954,16213,15915,15335,15252,15106,15274
CAR,Mt. Province,Total,22319,22616,23173,23189,23375,23143,23418,23245
CAR,Mt. Province,Male,11826,11995,12286,12245,12327,12226,12324,12156
CAR,Mt. Province,Female,10493,10621,10887,10944,11048,10917,11094,11089
CAR,Baguio City,Total,33849,33610,33003,32067,31153,30164,29708,28886
CAR,Baguio City,Male,17548,17424,17222,16703,16184,15691,15496,15069
CAR,Baguio City,Female,16301,16186,15781,15364,14969,14473,14212,13817
CAR,CAR,Total,215480,216495,217442,215647,212364,210482,210520,209520
CAR,CAR,Male,113411,113651,114182,113018,111323,110086,109971,109150
CAR,CAR,Female,102069,102844,103260,102629,101041,100396,100549,100370
NCR,City of San Juan,Total,8602,8670,8849,9020,0,0,0,0
NCR,City of San Juan,Male,4433,4507,4551,4633,0,0,0,0
NCR,City of San Juan,Female,4169,4163,4298,4387,0,0,0,0
NCR,Navotas,Total,33009,33704,33961,0,0,0,0,0
NCR,Navotas,Male,17235,17507,17541,0,0,0,0,0
NCR,Navotas,Female,15774,16197,16420,0,0,0,0,0
NCR,Manila,Total,185534,186935,185461,184596,187142,183580,183458,180233
NCR,Manila,Male,95979,96451,95453,94690,96370,93985,94015,92478
NCR,Manila,Female,89555,90484,90008,89906,90772,89595,89443,87755
NCR,Quezon City,Total,261616,262241,262771,262364,261678,256333,251933,246330
NCR,Quezon City,Male,135030,135017,135347,134841,134658,131678,129726,126775
NCR,Quezon City,Female,126586,127224,127424,127523,127020,124655,122207,119555
NCR,Pasay City,Total,34976,35440,34970,35319,35264,35324,35172,34760
NCR,Pasay City,Male,18069,18323,18026,18196,18201,18308,18281,18151
NCR,Pasay City,Female,16907,17117,16944,17123,17063,17016,16891,16609
NCR,Caloocan City,Total,157645,157301,155158,153668,150906,148735,146535,141342
NCR,Caloocan City,Male,81793,81488,80567,79727,77907,76980,75621,73050
NCR,Caloocan City,Female,75852,75813,74591,73941,72999,71755,70914,68292
NCR,Mandaluyong City,Total,30866,31308,29736,29923,29431,28408,27979,27219
NCR,Mandaluyong City,Male,16153,16390,15515,15647,15300,14722,14584,14086
NCR,Mandaluyong City,Female,14713,14918,14221,14276,14131,13686,13395,13133
NCR,Marikina City,Total,44770,45362,44764,46530,46296,45759,45000,43813
NCR,Marikina City,Male,23013,23416,23082,23980,23759,23581,23194,22540
NCR,Marikina City,Female,21757,21946,21682,22550,22537,22178,21806,21273
NCR,Makati City,Total,50415,51270,51565,51828,51947,50793,48619,48914
NCR,Makati City,Male,25899,26344,26521,26609,26689,26109,25019,25088
NCR,Makati City,Female,24516,24926,25044,25219,25258,24684,23600,23826
NCR,Pasig City,Total,74386,73833,72956,73226,80520,79311,76569,74198
NCR,Pasig City,Male,38544,38283,37746,37824,41440,40923,39477,38339
NCR,Pasig City,Female,35842,35550,35210,35402,39080,38388,37092,35859
NCR,Paranaque City,Total,56591,56322,54429,53631,53501,53194,52736,50963
NCR,Paranaque City,Male,29221,29114,28179,27672,27611,27487,27287,26394
NCR,Paranaque City,Female,27370,27208,26250,25959,25890,25707,25449,24569
NCR,Las Pinas City,Total,61809,62249,60501,60215,58774,58927,57236,55313
NCR,Las Pinas City,Male,31926,32136,31247,31100,30209,30430,29544,28638
NCR,Las Pinas City,Female,29883,30113,29254,29115,28565,28497,27692,26675
NCR,Valenzuela City,Total,69658,68890,67452,66511,65285,63454,61603,59399
NCR,Valenzuela City,Male,36028,35693,34972,34628,33892,32777,31892,30842
NCR,Valenzuela City,Female,33630,33197,32480,31883,31393,30677,29711,28557
NCR,Malabon City,Total,47253,48064,47062,81022,80132,79905,79053,77681
NCR,Malabon City,Male,24623,24925,24372,42103,41404,41182,40854,40110
NCR,Malabon City,Female,22630,23139,22690,38919,38728,38723,38199,37571
NCR,Taguig,Total,81771,79805,76116,74397,73268,72066,70054,67433
NCR,Taguig,Male,42366,41334,39321,38448,37878,37180,36304,34739
NCR,Taguig,Female,39405,38471,36795,35949,35390,34886,33750,32694
NCR,Muntinlupa City,Total,47218,47163,46139,46145,45189,43771,41718,40725
NCR,Muntinlupa City,Male,24580,24511,23990,23851,23350,22631,21512,20967
NCR,Muntinlupa City,Female,22638,22652,22149,22294,21839,21140,20206,19758
NCR,NCR,Total,1246119,1248557,1231890,1228395,1219333,1199560,1177665,1148323
NCR,NCR,Male,644892,645439,636430,633949,628668,617973,607310,592197
NCR,NCR,Female,601227,603118,595460,594446,590665,581587,570355,556126
National Grand total,National Grand total,Total,13259489,13226888,13002994,12781131,12560776,12304207,12083661,11982566
National Grand total,National Grand total,Male,6899322,6862214,6733329,6613696,6498649,6345862,6226072,6167336
National Grand total,National Grand total,Female,6360167,6364674,6269665,6167435,6062127,5958345,5857589,5815230
,,,,,,,,,,
Department of Education,,,,,,,,,,
Enhanced Basic Education Information System,,,,,,,,,,
Multi-Year Performance Indicators,,,,,,,,,,
Total School Enrollment,,,,,,,,,,
Public Elementary Schools,,,,,,,,,,
Aggregated by: Division,,,,,,,,,,
