region,province,1991a/_annual_per_capita_poverty_threshold_in_pesos,2006_annual_per_capita_poverty_threshold_in_pesos,2009_annual_per_capita_poverty_threshold_in_pesos,2012_annual_per_capita_poverty_threshold_in_pesos,1991a/_estimates_of_poverty_incidence_among_families_%,2006_estimates_of_poverty_incidence_among_families_%,2009_estimates_of_poverty_incidence_among_families_%,2012_estimates_of_poverty_incidence_among_families_%,1991a/_estimates_of_magnitude_of_poor_families,2006_estimates_of_magnitude_of_poor_fqamilies,2009_estimates_of_magnitude_of_poor_families,2012_estimates_of_magnitude_of_poor_families
Philippines,Total Philippines,5949,13357,16871,18935,29.7,21,20.5,19.7,3554878,3809283,4036915,4214921
NCR (National Capital Region),NCR (National Capital Region),7373,15699,19227,20344,5.3,2.9,2.4,2.6,86388,73353,63974,76530
NCR (National Capital Region),1st District막/,0,15699,19227,20344,0,2.7,3.2,3.6,0,9906,12405,14343
NCR (National Capital Region),2nd District막/,0,15699,19227,20344,0,3.2,2.2,1.9,0,28247,21168,19782
NCR (National Capital Region),3rd District막/,0,15699,19227,20344,0,3.3,3.2,2.8,0,18631,19306,18266
NCR (National Capital Region),4th District막/,0,15699,19227,20344,0,2.4,1.5,3,0,16570,11095,24138
CAR (Cordillera Administrative Region),CAR (Cordillera Administrative Region),6706,14107,17243,19483,36.7,21.1,19.2,17.5,83557,66607,66111,65516
CAR (Cordillera Administrative Region),Abra막/,0,14680,17852,19775,0,39.4,38.9,27.2,0,18054,18852,13914
CAR (Cordillera Administrative Region),Apayao맊/,0,13915,16923,18623,0,42.1,39.9,54.7,0,8944,9132,13462
CAR (Cordillera Administrative Region),Benguet막/,0,13341,16217,19140,0,4,4.2,2.8,0,5773,6937,5121
CAR (Cordillera Administrative Region),Ifugao,0,14233,17321,20253,0,20.9,23.9,36,0,7575,9263,14950
CAR (Cordillera Administrative Region),Kalinga막/,0,13079,15939,17342,0,40.6,24.1,20.9,0,14340,9124,8482
CAR (Cordillera Administrative Region),Mt. Province막/,0,14910,18118,21138,0,38.5,39.3,27.9,0,11920,12803,9586
I (Ilocos Region),I (Ilocos Region),6371,14107,17595,18373,30.6,19.9,16.8,14,205171,191326,172726,154712
I (Ilocos Region),Ilocos Norte막/,0,14512,17990,18953,0,13.7,11.1,8.4,0,16393,14045,11211
I (Ilocos Region),Ilocos Sur막/,0,14836,18610,20885,0,16.4,13.4,13.7,0,22174,19256,20886
I (Ilocos Region),La Union,0,14340,17724,18006,0,20.8,22.4,15.3,0,31041,35938,26506
I (Ilocos Region),Pangasinan,0,13860,17043,17949,0,21.8,17.2,14.9,0,121718,103487,96109
II (Cagayan Valley),II (Cagayan Valley),6525,13944,17330,19125,37.3,21.7,20.2,17,182360,142518,143847,130965
II (Cagayan Valley),Batanes맊/,0,17508,21776,24693,0,14.3,16.7,18.2,0,564,699,810
II (Cagayan Valley),Cagayan,0,14355,17866,18741,0,25.1,22.5,15.2,0,56765,55061,40237
II (Cagayan Valley),Isabela,0,13702,17057,19400,0,23.8,22.6,19,0,72134,74412,68106
II (Cagayan Valley),Nueva Vizcaya막/,0,13402,16725,18709,0,11,10,15.1,0,9576,9365,15297
II (Cagayan Valley),Quirino막/,0,13183,16396,19014,0,9.7,11.1,15.5,0,3479,4310,6514
III (Central Luzon),III (Central Luzon),6635,14422,18188,20071,18.1,10.3,10.7,10.1,221205,206568,232928,240079
III (Central Luzon),"Aurora막/,c/",0,11883,14979,18466,0,25.1,14.7,27.1,0,10211,6445,12789
III (Central Luzon),Bataan막/,0,13862,17643,19383,0,6.2,5.9,4.5,0,8359,8688,7116
III (Central Luzon),Bulacan막/,0,14671,18434,19910,0,4.9,4.6,5.4,0,27997,29371,38103
III (Central Luzon),Nueva Ecija,0,14857,18732,20847,0,21.6,24.9,19.6,0,85958,107224,91168
III (Central Luzon),Pampanga막/,0,14221,17399,19163,0,2,4.9,5.4,0,8823,23297,28483
III (Central Luzon),Tarlac,0,13958,17559,18810,0,14.1,13.7,13.5,0,35823,37538,40174
III (Central Luzon),Zambales막/,0,14580,18448,21885,0,18.6,11.9,12.1,0,29397,20365,22246
IV-A (CALABARZON),IV-A (CALABARZON),6409,13241,17033,19137,19.1,7.8,8.8,8.3,234129,189690,241158,256839
IV-A (CALABARZON),Batangas,0,13735,17360,19437,0,10.9,12.6,14.7,0,49739,62889,80551
IV-A (CALABARZON),Cavite막/,0,13343,16677,19948,0,1.2,2.2,2.6,0,7093,15157,19983
IV-A (CALABARZON),Laguna,0,13637,17412,19857,0,4.3,6.2,4.6,0,22772,37277,31409
IV-A (CALABARZON),Quezon,0,12784,16181,18081,0,24.7,22.1,20.3,0,98511,94988,94123
IV-A (CALABARZON),Rizal막/,0,14525,18397,20306,0,2.5,5.8,5,0,11576,30847,30773
IV-B (MIMAROPA),IV-B (MIMAROPA),5753,12645,15613,17292,36.6,32.4,27.2,23.6,132082,176282,160226,150486
IV-B (MIMAROPA),Marinduque,0,12909,15678,17180,0,31.9,27.4,23.9,0,15481,13971,12743
IV-B (MIMAROPA),Occidental Mindorob/,0,12725,15937,17412,0,33.5,25,29.8,0,30084,24203,31070
IV-B (MIMAROPA),Oriental Mindoro,0,13396,16710,17415,0,35.7,28.8,21.5,0,56043,48741,39272
IV-B (MIMAROPA),Palawan막/,0,11521,14418,16696,0,28.2,25.3,20.5,0,53193,53131,47730
IV-B (MIMAROPA),Romblon,0,12811,15547,18464,0,36.3,32.6,30.4,0,21481,20181,19671
V (Bicol Region),V (Bicol Region),5807,13240,16888,18257,48,35.4,35.3,32.3,395592,361802,385523,375974
V (Bicol Region),Albay,0,13413,17098,18610,0,28.7,30.2,33.9,0,67788,75910,90551
V (Bicol Region),Camarines Norte b/,0,13066,16675,18390,0,30.1,31.9,21.7,0,32037,36527,26663
V (Bicol Region),Camarines Sur,0,13492,17223,18717,0,39.5,39.8,31.7,0,131601,142173,121614
V (Bicol Region),Catanduanes막/,0,13369,17057,18303,0,33,22.6,27.1,0,15193,11002,13919
V (Bicol Region),Masbate,0,12866,16415,17487,0,44.6,44.4,40.6,0,70711,74864,72903
V (Bicol Region),Sorsogon,0,12905,16484,17535,0,31.3,29.8,31.3,0,44472,45046,50324
VI (Western Visayas),VI (Western Visayas),5580,12684,15971,18029,32.3,22.7,23.6,22.8,345102,316669,353431,365040
VI (Western Visayas),Aklan막/,0,13235,16758,17707,0,32.2,36.7,20.4,0,33647,41583,25204
VI (Western Visayas),Antique막/,0,13497,17050,17160,0,42.5,34.5,23.6,0,45308,39314,28598
VI (Western Visayas),Capiz막/,0,13596,17248,20144,0,23.5,22.9,22.3,0,34419,35726,37143
VI (Western Visayas),"Guimaras막/,c/",0,12798,16204,18926,0,19.7,13.4,16.9,0,6330,4665,6345
VI (Western Visayas),Iloilo,0,12965,16448,18827,0,16.7,19.7,20.8,0,71708,90558,102924
VI (Western Visayas),Negros Occidental,0,11826,14921,17243,0,21.6,22.9,24.9,0,125256,141585,164827
VII (Central Visayas),VII (Central Visayas),5670,13963,16662,18767,38.2,30.7,26,25.7,345870,411431,378221,405694
VII (Central Visayas),Bohol,0,14098,16633,18847,0,40.3,36.6,30.6,0,97368,93942,83455
VII (Central Visayas),Cebu,0,15064,17770,18855,0,25.6,22.3,18.9,0,209301,200481,185603
VII (Central Visayas),Negros Oriental,0,11518,13625,18589,0,38.2,28,43.9,0,99734,78122,131317
VII (Central Visayas),"Siquijor막/,c/",0,13971,16469,18420,0,25.6,27.2,24,0,5027,5676,5319
VIII (Eastern Visayas),VIII (Eastern Visayas),5507,12520,16278,18076,42.3,33.7,34.5,37.4,279555,271319,293886,337221
VIII (Eastern Visayas),Biliran,0,11841,15350,17393,0,22.6,31.8,20.9,0,7143,10701,7468
VIII (Eastern Visayas),Eastern Samar,0,13140,17091,20237,0,41.3,49.2,55.4,0,34344,43489,52189
VIII (Eastern Visayas),Leyte,0,12493,16255,17561,0,32.2,29.8,31.4,0,117271,114843,128273
VIII (Eastern Visayas),Northern Samar,0,12959,16883,19197,0,44.6,42.8,43.5,0,47317,48079,51663
VIII (Eastern Visayas),Southern Leyte,0,12830,16688,19431,0,25.3,30.1,34,0,20915,26483,31890
VIII (Eastern Visayas),Western Samar,0,11607,15091,15891,0,32.3,34.9,43.5,0,44329,50291,65737
IX (Zamboanga Peninsula),IX (Zamboanga Peninsula),5330,12743,16260,18054,36.4,40,39.5,33.7,156354,260619,280271,259749
IX (Zamboanga Peninsula),Zamboanga del Norte,0,13464,17184,18483,0,60.3,60.3,48,0,113288,121830,104138
IX (Zamboanga Peninsula),Zamboanga del Sur,0,11508,14679,17961,0,27.4,26.9,25.9,0,91993,99107,104133
IX (Zamboanga Peninsula),Zamboanga Sibugay,0,13389,17046,17338,0,44.6,46,37,0,49397,55109,48050
IX (Zamboanga Peninsula),Isabela City맊/,0,12763,16364,19670,0,33.9,21.4,15.5,0,5940,4226,3429
X (Northern Mindanao),X (Northern Mindanao),5529,12917,16878,19335,42.6,32.1,33.3,32.8,236172,263982,298472,320113
X (Northern Mindanao),Bukidnon,0,13150,17210,20115,0,35.4,37,41.5,0,86133,98340,120760
X (Northern Mindanao),Camiguin맊/,0,12152,16022,21521,0,31.4,20.4,41,0,5283,3642,7796
X (Northern Mindanao),Lanao del Norte,0,12519,16393,18907,0,33.1,39.7,41.4,0,57196,74184,83640
X (Northern Mindanao),Misamis Occidental,0,12199,15966,18127,0,37.1,37.9,33.8,0,42596,46555,44405
X (Northern Mindanao),Misamis Oriental,0,13430,17539,18938,0,26.5,25,19.1,0,72773,75752,63513
XI (Davao Region),XI (Davao Region),5653,13389,17120,19967,34.1,25.4,25.5,25,187065,229801,252152,268957
XI (Davao Region),Davao del Norte막/,0,13214,16863,20841,0,26.2,27.2,26.7,0,48669,55869,60652
XI (Davao Region),Davao del Sur,0,13298,17046,19311,0,19.6,19.3,20,0,93824,100860,113948
XI (Davao Region),Davao Oriental,0,13258,16948,19323,0,42.7,44.3,37.8,0,43761,49155,45429
XI (Davao Region),XI (Davao Region),0,13911,17788,20932,0,31.3,31,30.7,0,43546,46267,48928
XII (SOCCSKSARGEN),XII (SOCCSKSARGEN),6272,13319,16405,18737,47.4,31.2,30.8,37.1,196284,250168,274043,366169
XII (SOCCSKSARGEN),North Cotabato,0,12077,14862,18340,0,25.6,23.4,44.8,0,60532,61568,131744
XII (SOCCSKSARGEN),Saranggani,0,13059,16053,18640,0,41.7,47.5,46,0,40876,50504,52982
XII (SOCCSKSARGEN),South Cotabato,0,13889,17141,19847,0,26.1,25.7,25.8,0,72114,78140,85814
XII (SOCCSKSARGEN),Sultan Kudarat,0,13766,16965,17597,0,44.3,41.6,40.4,0,64441,68076,74075
XII (SOCCSKSARGEN),"Cotabato City막/,c/",0,14629,18103,20568,0,27.5,29.9,34.5,0,12206,15754,21555
XIII (Caraga),XIII (Caraga),6099,14324,18309,19629,48.5,41.7,46,31.9,163244,191315,227453,169522
XIII (Caraga),Agusan del Norte,0,14739,18890,18905,0,38.7,37.3,27.7,0,46898,48842,39125
XIII (Caraga),Agusan del Sur,0,14969,19107,19634,0,46.1,53.8,37.3,0,56058,70560,52809
XIII (Caraga),Surigao Del Norte,0,13771,17595,20566,0,43.7,48.9,33.8,0,47939,58147,43620
XIII (Caraga),Surigao Del Sur,0,13605,17398,19287,0,38,44.1,28.3,0,40420,49904,33968
ARMM (Autonomous Region in Muslim Mindanao),ARMM (Autonomous Region in Muslim Mindanao),5201,12647,16683,20517,26.9,40.5,39.9,48.7,104747,205834,212494,271355
ARMM (Autonomous Region in Muslim Mindanao),Basilan막/,0,12538,16256,19368,0,28.2,28.8,32.1,0,14137,14781,16832
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur,0,13116,17024,22665,0,38.6,48.7,67.3,0,51408,68770,100946
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao,0,12877,16701,18873,0,46.4,43.3,54.5,0,70665,67899,87800
ARMM (Autonomous Region in Muslim Mindanao),Sulu,0,13330,17240,20477,0,35.2,35.5,40.2,0,39478,42530,51278
ARMM (Autonomous Region in Muslim Mindanao),Tawi-tawi막/,0,11557,14659,17406,0,50.2,29.4,21.9,0,30146,18514,14499
